Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick,Moved_x,Moved_y
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-0.5,11,3,1,0,0,0,0,1,20:37,1,6,0.167,1,2,0.5,0,0,,0,0,-3.0,ORL,A,2023-11-21,24-307,TOR,L (-19),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,4.1,12,8,1,1,1,0,2,1,25:03,2,5,0.4,2,4,0.5,2,4,0.5,0,1,14.0,IND,A,2023-11-22,24-308,TOR,W (+1),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.8,13,16,2,1,1,0,0,3,20:30,6,13,0.462,4,9,0.444,0,0,,0,1,-4.0,CHI,H,2023-11-24,24-310,TOR,W (+13),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,6.2,14,13,0,1,1,0,1,0,25:39,5,13,0.385,1,7,0.143,2,2,1.0,0,1,10.0,CLE,A,2023-11-26,24-312,TOR,L (-3),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,11.3,15,15,1,2,1,0,0,1,24:46,7,12,0.583,1,4,0.25,0,0,,0,2,-6.0,BRK,A,2023-11-28,24-314,TOR,L (-12),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.4,16,13,2,5,0,0,0,1,25:09,5,13,0.385,3,7,0.429,0,0,,0,5,0.0,PHO,H,2023-11-29,24-315,TOR,W (+7),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,3.3,17,4,4,1,0,0,0,0,22:34,2,6,0.333,0,1,0.0,0,1,0.0,0,1,-18.0,NYK,H,2023-12-01,24-317,TOR,L (-13),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,9.1,18,15,2,2,0,0,1,3,25:09,5,11,0.455,3,7,0.429,2,2,1.0,0,2,7.0,MIA,H,2023-12-06,24-322,TOR,L (-9),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-2.9,19,0,2,2,0,0,0,0,20:02,0,7,0.0,0,3,0.0,0,0,,0,2,-7.0,CHO,A,2023-12-08,24-324,TOR,L (-3),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,1.3,20,4,2,1,0,0,0,0,19:28,2,8,0.25,0,4,0.0,0,0,,1,0,3.0,NYK,A,2023-12-11,24-327,TOR,L (-6),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,6.6,21,12,1,0,0,0,0,0,20:04,4,11,0.364,4,8,0.5,0,0,,0,0,-8.0,ATL,H,2023-12-13,24-329,TOR,W (+7),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,4.9,22,8,3,2,0,0,1,1,20:28,3,8,0.375,2,5,0.4,0,0,,0,2,-11.0,ATL,H,2023-12-15,24-331,TOR,L (-21),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,18.4,23,22,3,10,1,0,1,1,34:45,9,17,0.529,4,10,0.4,0,0,,0,10,25.0,CHO,H,2023-12-18,24-334,TOR,W (+15),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.0,24,12,4,3,0,0,1,0,28:37,4,9,0.444,1,5,0.2,3,3,1.0,0,3,-11.0,DEN,H,2023-12-20,24-336,TOR,L (-9),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,13.8,25,17,1,4,1,0,0,3,25:33,6,11,0.545,5,8,0.625,0,0,,1,3,-10.0,PHI,A,2023-12-22,24-338,TOR,L (-10),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.0,26,16,0,0,0,0,2,0,27:42,6,12,0.5,4,9,0.444,0,0,,0,0,-10.0,UTA,H,2023-12-23,24-339,TOR,L (-7),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.2,27,12,4,2,2,0,1,1,26:22,4,10,0.4,3,8,0.375,1,2,0.5,0,2,8.0,WAS,A,2023-12-27,24-343,TOR,W (+30),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,3.3,28,6,1,4,2,0,0,0,28:58,2,10,0.2,1,4,0.25,1,2,0.5,0,4,-10.0,BOS,A,2023-12-29,24-345,TOR,L (-2),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,22.6,29,24,4,1,4,1,0,3,39:28,8,16,0.5,6,9,0.667,2,2,1.0,0,1,4.0,DET,A,2023-12-30,24-346,TOR,L (-2),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,7.8,30,9,2,6,1,0,0,1,26:04,3,10,0.3,1,5,0.2,2,2,1.0,2,4,-1.0,CLE,H,2024-01-01,24-348,TOR,W (+3),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,0.8,31,5,0,1,1,0,2,2,21:27,2,5,0.4,1,1,1.0,0,0,,0,1,2.0,MEM,A,2024-01-03,24-350,TOR,W (+5),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,12.0,32,14,1,1,2,1,0,1,26:23,6,11,0.545,2,5,0.4,0,0,,0,1,10.0,GSW,A,2024-01-07,24-354,TOR,W (+15),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,9.6,33,14,1,1,0,0,0,1,23:39,5,10,0.5,4,6,0.667,0,0,,0,1,-6.0,LAL,A,2024-01-09,24-356,TOR,L (-1),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.0,34,12,2,3,0,0,0,1,24:10,5,9,0.556,2,4,0.5,0,0,,1,2,-9.0,LAC,A,2024-01-10,24-357,TOR,L (-6),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,2.3,35,5,2,1,0,0,1,1,21:41,2,6,0.333,1,2,0.5,0,0,,1,0,-6.0,UTA,A,2024-01-12,24-359,TOR,L (-32),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,24.1,36,28,0,2,1,0,0,1,30:52,10,13,0.769,8,9,0.889,0,0,,0,2,14.0,MIA,H,2024-01-17,24-364,TOR,W (+24),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,0.4,37,6,2,2,0,0,2,3,29:39,3,8,0.375,0,4,0.0,0,0,,0,2,-21.0,CHI,H,2024-01-18,25-000,TOR,L (-6),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.8,38,16,0,1,1,1,1,4,25:32,6,10,0.6,4,8,0.5,0,0,,0,1,-13.0,NYK,A,2024-01-20,25-002,TOR,L (-26),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,3.6,39,6,2,0,1,0,1,1,23:36,2,6,0.333,2,4,0.5,0,0,,0,0,-2.0,MEM,H,2024-01-22,25-004,TOR,L (-8),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,7.9,40,13,3,1,0,0,0,1,28:59,5,13,0.385,3,8,0.375,0,0,,0,1,-12.0,LAC,H,2024-01-26,25-008,TOR,L (-20),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,9.3,41,16,0,1,2,0,1,5,26:13,6,12,0.5,4,8,0.5,0,0,,0,1,-19.0,ATL,A,2024-01-28,25-010,TOR,L (-1),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,17.9,42,24,1,5,1,0,2,1,32:15,9,15,0.6,6,11,0.545,0,0,,0,5,12.0,CHI,A,2024-01-30,25-012,TOR,W (+11),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.2,43,12,0,4,2,0,1,1,25:58,5,12,0.417,2,5,0.4,0,0,,2,2,-17.0,HOU,A,2024-02-02,25-015,TOR,L (-29),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,9.9,44,16,0,6,2,0,1,2,39:30,6,15,0.4,4,8,0.5,0,0,,0,6,-9.0,OKC,A,2024-02-04,25-017,TOR,L (-8),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-0.8,45,2,0,1,0,0,0,0,14:55,1,5,0.2,0,2,0.0,0,0,,0,1,-16.0,NOP,A,2024-02-05,25-018,TOR,L (-38),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,9.2,46,14,1,0,3,0,1,1,28:26,5,13,0.385,4,8,0.5,0,0,,0,0,-2.0,CHO,A,2024-02-07,25-020,TOR,W (+6),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,6.1,47,8,3,1,4,0,1,1,33:53,2,11,0.182,2,8,0.25,2,2,1.0,0,1,17.0,HOU,H,2024-02-09,25-022,TOR,W (+3),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,3.5,48,6,2,2,1,0,1,1,22:59,2,7,0.286,2,5,0.4,0,0,,0,2,-2.0,CLE,H,2024-02-10,25-023,TOR,L (-24),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-0.2,49,4,0,1,2,0,2,1,21:47,2,7,0.286,0,0,,0,0,,0,1,-19.0,SAS,H,2024-02-12,25-025,TOR,L (-23),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,7.8,50,8,3,6,0,2,0,1,29:57,3,9,0.333,2,6,0.333,0,0,,0,6,2.0,IND,H,2024-02-14,25-027,TOR,L (-2),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,21.3,51,25,2,1,1,0,0,4,31:28,9,12,0.75,5,7,0.714,2,2,1.0,0,1,24.0,BRK,H,2024-02-22,25-035,TOR,W (+28),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.1,52,13,4,4,0,1,1,2,34:25,4,14,0.286,2,9,0.222,3,3,1.0,1,3,-9.0,ATL,A,2024-02-23,25-036,TOR,W (+2),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,7.1,53,11,2,5,0,0,0,2,30:35,5,12,0.417,1,6,0.167,0,0,,1,4,2.0,IND,A,2024-02-26,25-039,TOR,W (+8),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.0,54,11,0,4,1,0,0,1,32:52,3,8,0.375,2,5,0.4,3,4,0.75,0,4,8.0,DAL,H,2024-02-28,25-041,TOR,L (-11),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,5.5,55,9,2,3,2,0,0,0,30:08,4,14,0.286,1,8,0.125,0,0,,1,2,0.0,GSW,H,2024-03-01,25-043,TOR,L (-15),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,15.5,56,17,0,5,3,1,0,0,34:24,6,13,0.462,3,6,0.5,2,3,0.667,1,4,8.0,CHO,H,2024-03-03,25-045,TOR,W (+5),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,11.2,57,16,1,3,1,0,1,1,29:04,6,12,0.5,4,10,0.4,0,0,,0,3,-13.0,NOP,H,2024-03-05,25-047,TOR,L (-41),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,19.9,58,30,0,3,0,0,0,1,35:55,11,22,0.5,5,13,0.385,3,3,1.0,1,2,-7.0,PHO,A,2024-03-07,25-049,TOR,L (-7),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,12.0,59,23,3,5,2,0,2,2,41:47,10,26,0.385,3,12,0.25,0,1,0.0,2,3,-12.0,POR,A,2024-03-09,25-051,TOR,L (-10),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,23.7,60,31,0,4,1,0,0,3,31:37,10,17,0.588,7,11,0.636,4,5,0.8,0,4,-6.0,ORL,H,2024-03-15,25-057,TOR,L (-10),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,15.2,61,15,3,4,3,1,0,2,30:50,6,12,0.5,2,6,0.333,1,1,1.0,0,4,-16.0,ORL,A,2024-03-17,25-059,TOR,L (-15),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,13.1,62,18,2,6,1,0,0,2,32:21,6,17,0.353,4,9,0.444,2,2,1.0,3,3,-16.0,SAC,H,2024-03-20,25-062,TOR,L (-34),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,22.0,63,31,2,4,3,0,0,2,34:26,10,26,0.385,1,7,0.143,10,10,1.0,1,3,5.0,WAS,A,2024-03-23,25-065,TOR,L (-3),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.1,64,18,2,2,0,0,0,2,30:19,7,17,0.412,2,7,0.286,2,2,1.0,0,2,-9.0,BRK,H,2024-03-25,25-067,TOR,L (-8),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,16.1,65,18,6,2,0,0,1,0,30:36,6,11,0.545,1,2,0.5,5,6,0.833,0,2,-32.0,NYK,H,2024-03-27,25-069,TOR,L (-44),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,15.6,66,23,2,2,2,0,1,1,31:50,10,20,0.5,3,9,0.333,0,0,,0,2,-10.0,PHI,H,2024-03-31,25-073,TOR,L (-15),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,22.8,67,31,3,5,2,0,2,2,37:06,11,22,0.5,7,15,0.467,2,2,1.0,0,5,11.0,MIL,A,2024-04-05,25-078,TOR,W (+6),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,21.0,68,20,5,7,3,0,0,0,35:06,9,16,0.563,2,4,0.5,0,0,,0,7,18.0,WAS,H,2024-04-07,25-080,TOR,W (+8),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,7.8,69,16,4,3,4,0,3,5,34:00,7,19,0.368,0,7,0.0,2,4,0.5,1,2,-9.0,IND,H,2024-04-09,25-082,TOR,L (-17),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-1.7,70,7,1,1,0,0,1,2,28:39,3,13,0.231,1,7,0.143,0,0,,0,1,-5.0,MIA,A,2024-04-12,25-085,TOR,L (-22),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,12.5,71,18,1,4,0,0,0,1,23:15,6,14,0.429,3,8,0.375,3,3,1.0,1,3,-18.0,MIA,A,2024-04-14,25-087,TOR,L (-15),1,2023-24,2.0,7.0,37.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,14.8,1,17,5,8,2,5,4,1,37:03,6,16,0.375,1,4,0.25,4,6,0.667,1,7,2.0,MIN,H,2023-10-25,22-085,TOR,W (+3),1,2023-24,1.0,4.0,4.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,18.2,2,22,10,10,0,2,7,5,38:35,9,14,0.643,1,2,0.5,3,4,0.75,1,9,15.0,CHI,A,2023-10-27,22-087,TOR,L (-1),1,2023-24,1.0,4.0,4.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,22.7,3,24,5,8,0,2,1,3,36:39,11,16,0.688,2,5,0.4,0,0,,1,7,-6.0,PHI,H,2023-10-28,22-088,TOR,L (-7),1,2023-24,1.0,4.0,4.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,14.0,4,20,2,12,2,1,4,3,37:21,8,19,0.421,1,4,0.25,3,3,1.0,4,8,1.0,POR,H,2023-10-30,22-090,TOR,L (-8),1,2023-24,1.0,4.0,4.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,21.1,5,21,5,12,1,2,3,1,28:35,8,16,0.5,4,6,0.667,1,1,1.0,5,7,14.0,MIL,H,2023-11-01,22-092,TOR,W (+19),1,2023-24,1.0,4.0,4.0,False,False
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State,https://www.basketball-reference.com/players/b/barnesc01/gamelog/2024,22.6,6,24,8,8,0,0,1,4,35:02,9,16,0.563,2,7,0.286,4,4,1.0,2,6,-11.0,PHI,A,2023-11-02,22-093,TOR,L (-15),1,2023-24,1.0,4.0,4.0,False,False
