Player,Season,Team,Game Score,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Starter,Number,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Draft Round,Draft Pick in Round,Draft Overall Pick,Total Losses,Total Wins,Wfirst5,Lfirst5,Wfirst10,Lfirst10,Wfirst15,Lfirst15,Avg_Total_Passes
Aaron Gordon,2020-21,ORL,11.07,14.56,4.2,6.64,0.64,0.8,2.68,1.96,29.43,5.12,11.72,0.43,1.68,4.48,0.37,2.64,4.2,0.57,1.56,5.08,-1.4,100.0,50,PF,6-8,235,"September 16, 1995",us,6,Arizona,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2021,1.0,4.0,4.0,15.0,10.0,4,1,6,4,7,8,2.98
Aaron Gray,2013-14,SAC,1.57,1.82,0.58,3.12,0.3,0.24,0.82,1.73,10.14,0.76,1.76,0.3,0.0,0.03,0.0,0.3,0.55,0.14,1.18,1.94,-2.36,18.18,34,C,7-0,270,"December 7, 1984",us,6,Pitt,https://www.basketball-reference.com/players/g/grayaa01/gamelog/2014,2.0,19.0,49.0,23.0,10.0,2,3,4,6,6,9,0.9
Aaron Gray,2013-14,TOR,0.55,1.25,0.75,2.0,0.0,0.0,1.0,1.75,4.95,0.5,0.75,0.25,0.0,0.0,0.0,0.25,0.5,0.12,0.75,1.25,-1.25,0.0,34,C,7-0,270,"December 7, 1984",us,6,Pitt,https://www.basketball-reference.com/players/g/grayaa01/gamelog/2014,2.0,19.0,49.0,2.0,2.0,2,2,2,2,2,2,1.5
Aaron Holiday,2021-22,PHO,6.09,6.77,3.41,2.5,0.82,0.0,1.27,1.45,16.28,2.32,5.64,0.43,0.73,1.64,0.38,1.41,1.5,0.38,0.68,1.82,2.14,4.55,4,PG,6-0,185,"September 30, 1996",us,3,UCLA,https://www.basketball-reference.com/players/h/holidaa01/gamelog/2022,1.0,23.0,23.0,6.0,16.0,4,1,8,2,12,3,0.0
Aaron Holiday,2021-22,WAS,4.49,6.12,1.9,1.63,0.59,0.22,0.95,1.46,16.16,2.44,5.22,0.47,0.56,1.63,0.27,0.68,0.85,0.29,0.22,1.41,-2.05,34.15,4,PG,6-0,185,"September 30, 1996",us,3,UCLA,https://www.basketball-reference.com/players/h/holidaa01/gamelog/2022,1.0,23.0,23.0,23.0,18.0,4,1,7,3,10,5,1.32
Adonis Thomas,2013-14,ORL,0.85,1.75,0.5,0.75,0.0,0.0,0.0,0.5,6.09,0.75,2.25,0.3,0.0,0.75,0.0,0.25,0.25,0.25,0.0,0.75,2.0,0.0,8,SF,6-7,200,"March 25, 1993",us,R,Memphis,https://www.basketball-reference.com/players/t/thomaad01/gamelog/2014,0.0,0.0,0.0,3.0,1.0,1,3,1,3,1,3,0.83
Adonis Thomas,2013-14,PHI,1.4,3.5,0.5,0.0,0.0,0.0,0.5,2.0,6.6,1.5,2.5,0.58,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8,SF,6-7,200,"March 25, 1993",us,R,Memphis,https://www.basketball-reference.com/players/t/thomaad01/gamelog/2014,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,0.93
Adreian Payne,2014-15,ATL,0.5,1.67,0.0,1.33,0.33,0.0,0.0,1.33,6.41,0.67,2.33,0.25,0.0,0.33,0.0,0.33,0.67,0.17,0.33,1.0,-6.33,0.0,33,PF,6-10,237,"February 19, 1991",us,R,Michigan State,https://www.basketball-reference.com/players/p/paynead01/gamelog/2015,1.0,15.0,15.0,1.0,2.0,2,1,2,1,2,1,1.19
Adreian Payne,2014-15,MIN,4.22,7.17,1.03,5.45,0.62,0.31,1.52,2.9,24.84,3.07,7.34,0.41,0.03,0.28,0.02,1.0,1.52,0.31,1.62,3.83,-7.76,75.86,33,PF,6-10,237,"February 19, 1991",us,R,Michigan State,https://www.basketball-reference.com/players/p/paynead01/gamelog/2015,1.0,15.0,15.0,24.0,5.0,2,3,3,7,4,11,2.12
Al-Farouq Aminu,2020-21,CHI,1.08,1.5,0.33,3.17,0.33,0.0,0.5,1.17,11.24,0.33,1.67,0.07,0.17,1.0,0.06,0.67,0.83,0.28,0.33,2.83,3.83,0.0,5,PF,6-8,220,"September 21, 1990",us,10,Wake Forest,https://www.basketball-reference.com/players/a/aminual01/gamelog/2021,1.0,8.0,8.0,6.0,0.0,0,5,0,6,0,6,1.07
Al-Farouq Aminu,2020-21,ORL,5.24,5.47,1.71,5.35,1.0,0.53,1.47,1.29,21.57,2.12,5.24,0.41,0.41,1.82,0.23,0.82,1.0,0.44,1.18,4.18,-4.53,82.35,5,PF,6-8,220,"September 21, 1990",us,10,Wake Forest,https://www.basketball-reference.com/players/a/aminual01/gamelog/2021,1.0,8.0,8.0,12.0,5.0,3,2,3,7,4,11,1.94
Alec Burks,2018-19,CLE,8.97,11.65,2.88,5.47,0.74,0.47,1.35,1.82,28.8,4.0,10.0,0.39,1.32,3.5,0.39,2.32,2.88,0.67,0.76,4.71,-7.68,70.59,10,SG,6-6,214,"July 20, 1991",us,7,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2019,1.0,12.0,12.0,27.0,7.0,1,4,3,7,4,11,2.1
Alec Burks,2018-19,SAC,2.12,1.69,0.77,1.69,0.62,0.08,0.31,0.54,9.73,0.69,1.54,0.18,0.0,0.46,0.0,0.31,0.38,0.19,0.15,1.54,-1.0,0.0,10,SG,6-6,214,"July 20, 1991",us,7,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2019,1.0,12.0,12.0,9.0,4.0,3,2,3,7,4,9,0.85
Alec Burks,2018-19,UTA,5.17,8.41,1.18,1.59,0.35,0.24,0.88,1.29,15.84,2.76,6.71,0.39,0.94,2.53,0.27,1.94,2.24,0.61,0.12,1.47,-1.47,0.0,10,SG,6-6,214,"July 20, 1991",us,7,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2019,1.0,12.0,12.0,9.0,8.0,3,2,6,4,7,8,1.08
Alec Burks,2019-20,GSW,11.92,16.1,3.15,4.71,1.04,0.35,1.58,2.23,28.96,5.08,12.52,0.4,1.75,4.67,0.38,4.19,4.67,0.78,0.77,3.94,-5.38,37.5,"8, 20",SF,6-6,214,"July 20, 1991",us,8,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020,1.0,12.0,12.0,37.0,11.0,1,4,1,9,2,13,2.88
Alec Burks,2019-20,PHI,9.31,12.22,2.11,3.11,0.67,0.0,0.83,1.17,20.23,4.28,9.28,0.48,1.78,4.28,0.45,1.89,2.28,0.54,0.61,2.5,1.94,5.56,"8, 20",SF,6-6,214,"July 20, 1991",us,8,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020,1.0,12.0,12.0,8.0,10.0,3,2,5,5,9,6,1.84
Alec Burks,2023-24,DET,8.67,12.56,1.58,2.56,0.49,0.26,0.74,1.49,20.94,3.72,9.44,0.37,2.3,5.74,0.38,2.81,3.12,0.65,0.37,2.19,-4.35,0.0,18,SG,6-6,214,"July 20, 1991",us,12,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2024,1.0,12.0,12.0,36.0,7.0,2,3,2,8,2,13,1.2
Alec Burks,2023-24,NYK,2.95,6.48,0.87,1.74,0.3,0.04,0.7,0.48,13.52,2.17,7.09,0.25,1.09,3.61,0.26,1.04,1.43,0.36,0.35,1.39,-3.04,4.35,18,SG,6-6,214,"July 20, 1991",us,12,Colorado,https://www.basketball-reference.com/players/b/burksal01/gamelog/2024,1.0,12.0,12.0,12.0,11.0,1,4,3,7,7,8,1.28
Aleksej Pokusevski,2023-24,CHO,6.96,7.44,1.67,4.39,0.78,0.67,0.89,0.94,19.16,2.5,5.83,0.48,0.89,2.44,0.35,1.56,2.06,0.47,0.83,3.56,-2.22,0.0,17,PF,7-0,190,"December 26, 2001",rs,3,None,https://www.basketball-reference.com/players/p/pokusal01/gamelog/2024,1.0,17.0,17.0,12.0,6.0,2,3,3,7,4,11,0.0
Aleksej Pokusevski,2023-24,OKC,0.56,1.2,0.5,1.0,0.1,0.1,0.3,0.5,6.05,0.4,1.6,0.17,0.2,1.1,0.2,0.2,0.4,0.1,0.2,0.8,-3.4,0.0,17,PF,7-0,190,"December 26, 2001",rs,3,None,https://www.basketball-reference.com/players/p/pokusal01/gamelog/2024,1.0,17.0,17.0,2.0,8.0,4,1,8,2,8,2,0.52
Alex Fudge  (TW),2023-24,DAL,5.0,5.5,0.0,1.5,1.5,0.0,0.5,0.5,12.88,2.5,4.5,0.28,0.5,1.5,0.17,0.0,0.0,0.0,1.0,0.5,-9.5,0.0,3,SF,6-8,200,"May 6, 2003",us,R,"LSU, Florida",https://www.basketball-reference.com/players/f/fudgeal01/gamelog/2024,0.0,0.0,0.0,2.0,0.0,0,2,0,2,0,2,0.0
Alex Fudge  (TW),2023-24,LAL,0.05,1.0,0.0,0.5,0.0,0.0,0.25,0.25,3.62,0.25,1.5,0.25,0.0,0.5,0.0,0.5,0.5,0.25,0.5,0.0,-5.0,0.0,3,SF,6-8,200,"May 6, 2003",us,R,"LSU, Florida",https://www.basketball-reference.com/players/f/fudgeal01/gamelog/2024,0.0,0.0,0.0,3.0,1.0,1,3,1,3,1,3,0.0
Alex Len,2019-20,ATL,7.62,8.72,1.05,5.75,0.5,0.82,0.98,2.33,18.63,3.55,6.5,0.49,0.35,1.4,0.17,1.27,2.02,0.36,1.72,4.03,-3.3,22.5,25,C,7-0,250,"June 16, 1993",ua,6,Maryland,https://www.basketball-reference.com/players/l/lenal01/gamelog/2020,1.0,5.0,5.0,31.0,9.0,2,3,4,6,4,11,1.49
Alex Len,2019-20,SAC,5.87,5.93,0.53,6.07,0.2,1.0,1.07,2.27,15.03,2.33,3.93,0.59,0.13,0.2,0.07,1.13,1.6,0.34,2.07,4.0,1.4,20.0,25,C,7-0,250,"June 16, 1993",ua,6,Maryland,https://www.basketball-reference.com/players/l/lenal01/gamelog/2020,1.0,5.0,5.0,6.0,9.0,4,1,6,4,9,6,1.67
Alex Len,2020-21,TOR,1.2,2.29,0.43,1.57,0.14,0.86,1.14,1.43,10.83,0.71,1.43,0.32,0.43,0.86,0.14,0.43,0.86,0.21,0.0,1.57,-3.29,28.57,27,C,7-0,250,"June 16, 1993",ua,7,Maryland,https://www.basketball-reference.com/players/l/lenal01/gamelog/2021,1.0,5.0,5.0,5.0,2.0,1,4,2,5,2,5,1.18
Alex Len,2020-21,WAS,6.56,7.14,0.81,4.37,0.33,1.02,0.82,2.05,15.84,2.91,4.7,0.57,0.09,0.33,0.07,1.23,1.93,0.35,1.37,3.0,-1.26,70.18,27,C,7-0,250,"June 16, 1993",ua,7,Maryland,https://www.basketball-reference.com/players/l/lenal01/gamelog/2021,1.0,5.0,5.0,29.0,28.0,1,4,3,7,6,9,1.19
Alex Stepheson,2015-16,LAC,0.42,0.5,0.0,0.5,0.0,0.5,0.0,1.0,2.89,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,1.0,0.0,35,PF,6-10,270,"August 7, 1987",us,R,"UNC, USC",https://www.basketball-reference.com/players/s/stephal01/gamelog/2016,0.0,0.0,0.0,2.0,2.0,2,2,2,2,2,2,0.5
Alex Stepheson,2015-16,MEM,4.73,5.0,0.5,6.5,0.25,0.75,0.0,2.0,15.16,2.0,6.5,0.25,0.0,0.0,0.0,1.0,2.5,0.31,4.5,2.0,-1.5,0.0,35,PF,6-10,270,"August 7, 1987",us,R,"UNC, USC",https://www.basketball-reference.com/players/s/stephal01/gamelog/2016,0.0,0.0,0.0,4.0,0.0,0,4,0,4,0,4,1.35
Alexey Shved,2014-15,HOU,1.5,3.22,0.33,0.44,0.11,0.0,0.56,0.22,6.56,0.89,2.67,0.29,0.44,1.33,0.26,1.0,1.22,0.39,0.11,0.33,-0.11,0.0,1,SG,6-6,190,"December 16, 1988",ru,2,None,https://www.basketball-reference.com/players/s/shvedal01/gamelog/2015,0.0,0.0,0.0,3.0,6.0,4,1,6,3,6,3,0.5
Alexey Shved,2014-15,NYK,11.39,14.75,3.56,4.56,0.94,0.31,1.56,1.56,26.45,4.56,11.31,0.38,1.62,4.38,0.32,4.0,5.12,0.79,0.88,3.69,-2.19,56.25,1,SG,6-6,190,"December 16, 1988",ru,2,None,https://www.basketball-reference.com/players/s/shvedal01/gamelog/2015,0.0,0.0,0.0,12.0,4.0,2,3,3,7,4,11,3.56
Alexey Shved,2014-15,PHI,7.38,9.94,2.71,1.29,0.82,0.06,1.06,1.24,16.77,3.06,7.65,0.39,1.0,3.35,0.23,2.82,3.35,0.75,0.47,0.82,-5.65,0.0,1,SG,6-6,190,"December 16, 1988",ru,2,None,https://www.basketball-reference.com/players/s/shvedal01/gamelog/2015,0.0,0.0,0.0,17.0,0.0,0,5,0,10,0,15,1.96
Alexis Ajinça,2010-11,DAL,1.98,2.9,0.2,1.7,0.3,0.5,0.1,1.3,7.52,1.2,3.2,0.45,0.3,0.7,0.3,0.2,0.3,0.15,0.5,1.2,-0.7,20.0,42,C,7-2,248,"May 6, 1988",fr,2,None,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2011,1.0,20.0,20.0,7.0,3.0,3,2,3,7,3,7,0.0
Alexis Ajinça,2010-11,TOR,2.75,4.75,0.33,2.54,0.33,0.58,0.71,2.5,11.03,1.96,4.21,0.39,0.38,1.12,0.13,0.46,0.62,0.16,0.5,2.04,0.58,0.0,42,C,7-2,248,"May 6, 1988",fr,2,None,https://www.basketball-reference.com/players/a/ajincal01/gamelog/2011,1.0,20.0,20.0,21.0,3.0,1,4,2,8,2,13,0.0
Alize Johnson,2021-22,CHI,1.71,1.75,0.5,2.25,0.19,0.0,0.5,0.94,7.53,0.75,1.44,0.25,0.0,0.12,0.0,0.25,0.44,0.1,1.0,1.25,-3.81,0.0,27,PF,6-7,212,"April 22, 1996",us,3,Missouri State,https://www.basketball-reference.com/players/j/johnsal02/gamelog/2022,2.0,20.0,50.0,6.0,10.0,4,1,7,3,10,5,0.72
Alize Johnson,2021-22,NOP,2.5,2.25,0.25,3.25,0.5,0.0,0.25,0.75,7.11,0.75,2.5,0.22,0.0,0.0,0.0,0.75,1.0,0.38,1.75,1.5,5.25,0.0,27,PF,6-7,212,"April 22, 1996",us,3,Missouri State,https://www.basketball-reference.com/players/j/johnsal02/gamelog/2022,2.0,20.0,50.0,1.0,3.0,3,1,3,1,3,1,1.35
Alize Johnson,2021-22,WAS,0.93,1.33,0.0,4.0,0.0,0.0,1.0,0.0,6.08,0.67,2.0,0.13,0.0,0.67,0.0,0.0,0.33,0.0,1.67,2.33,-1.67,0.0,27,PF,6-7,212,"April 22, 1996",us,3,Missouri State,https://www.basketball-reference.com/players/j/johnsal02/gamelog/2022,2.0,20.0,50.0,2.0,1.0,1,2,1,2,1,2,0.62
Allen Crabbe,2019-20,ATL,3.46,5.11,1.0,2.32,0.54,0.14,0.43,1.29,18.64,1.86,5.11,0.34,1.07,3.32,0.27,0.32,0.43,0.12,0.36,1.96,-5.89,3.57,33,SG,6-5,212,"April 9, 1992",us,6,California,https://www.basketball-reference.com/players/c/crabbal01/gamelog/2020,2.0,1.0,31.0,24.0,4.0,0,5,0,10,1,14,0.84
Allen Crabbe,2019-20,MIN,0.81,3.22,0.56,1.33,0.0,0.0,0.56,1.22,14.57,1.22,3.78,0.27,0.67,2.89,0.18,0.11,0.22,0.06,0.11,1.22,-6.22,0.0,33,SG,6-5,212,"April 9, 1992",us,6,California,https://www.basketball-reference.com/players/c/crabbal01/gamelog/2020,2.0,1.0,31.0,8.0,1.0,0,5,1,8,1,8,0.81
Alonzo Gee,2014-15,DEN,3.85,4.87,0.49,1.79,0.72,0.15,0.64,1.08,13.1,1.69,3.51,0.41,0.26,0.62,0.17,1.23,1.67,0.44,0.74,1.05,-2.1,0.0,1,SF,6-6,225,"May 29, 1987",us,5,Alabama,https://www.basketball-reference.com/players/g/geeal01/gamelog/2015,0.0,0.0,0.0,26.0,13.0,1,4,4,6,5,10,0.65
Alonzo Gee,2014-15,POR,2.04,3.4,0.4,1.6,0.47,0.07,0.53,1.07,10.05,1.4,3.27,0.31,0.2,0.73,0.17,0.4,0.8,0.12,0.53,1.07,-1.33,13.33,1,SF,6-6,225,"May 29, 1987",us,5,Alabama,https://www.basketball-reference.com/players/g/geeal01/gamelog/2015,0.0,0.0,0.0,7.0,8.0,4,1,6,4,8,7,0.67
Amar'e Stoudemire,2014-15,DAL,7.61,10.78,0.35,3.65,0.39,0.17,0.65,2.17,16.5,4.52,7.78,0.58,0.0,0.04,0.0,1.74,2.57,0.63,1.17,2.48,-1.04,4.35,1,PF,6-10,245,"November 16, 1982",us,12,None,https://www.basketball-reference.com/players/s/stoudam01/gamelog/2015,1.0,9.0,9.0,11.0,12.0,3,2,6,4,8,7,1.2
Amar'e Stoudemire,2014-15,NYK,9.38,12.0,1.03,6.81,0.56,0.94,1.75,3.08,24.02,4.69,8.64,0.52,0.0,0.08,0.0,2.61,3.53,0.67,2.31,4.5,-0.89,38.89,1,PF,6-10,245,"November 16, 1982",us,12,None,https://www.basketball-reference.com/players/s/stoudam01/gamelog/2015,1.0,9.0,9.0,29.0,7.0,2,3,3,7,4,11,1.91
Anderson Varejão,2015-16,CLE,2.35,2.58,0.65,2.94,0.35,0.16,0.52,1.13,9.99,1.03,2.45,0.36,0.0,0.03,0.0,0.52,0.68,0.24,0.77,2.16,1.68,0.0,17,C,6-11,273,"September 28, 1982",br,11,None,https://www.basketball-reference.com/players/v/varejan01/gamelog/2016,2.0,1.0,30.0,9.0,22.0,4,1,8,2,11,4,0.0
Anderson Varejão,2015-16,GSW,2.13,2.64,0.68,2.27,0.23,0.23,0.27,1.59,8.44,0.95,2.18,0.33,0.0,0.0,0.0,0.73,1.32,0.36,0.59,1.68,-1.27,0.0,17,C,6-11,273,"September 28, 1982",br,11,None,https://www.basketball-reference.com/players/v/varejan01/gamelog/2016,2.0,1.0,30.0,3.0,19.0,5,0,9,1,13,2,0.0
Andre Drummond,2019-20,CLE,13.61,17.5,1.75,11.12,1.5,1.38,3.62,3.12,28.07,7.25,13.12,0.6,0.5,1.75,0.15,2.5,4.88,0.43,3.0,8.12,-8.75,100.0,3,C,6-11,279,"August 10, 1993",us,7,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020,1.0,9.0,9.0,4.0,4.0,3,2,4,4,4,4,3.57
Andre Drummond,2019-20,DET,16.85,17.76,2.82,15.82,1.98,1.67,3.55,3.59,33.75,7.35,13.86,0.54,0.02,0.43,0.02,3.04,5.2,0.54,4.61,11.2,-2.47,97.96,3,C,6-11,279,"August 10, 1993",us,7,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020,1.0,9.0,9.0,32.0,17.0,2,3,4,6,5,10,2.99
Andre Drummond,2020-21,CLE,14.41,17.48,2.56,13.48,1.6,1.16,3.24,2.76,28.87,7.2,15.2,0.47,0.0,0.32,0.0,3.08,5.16,0.48,4.04,9.44,-4.32,100.0,3,C,6-11,279,"August 10, 1993",us,8,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2021,1.0,9.0,9.0,16.0,9.0,3,2,5,5,8,7,2.52
Andre Drummond,2020-21,LAL,10.36,11.9,1.43,10.19,1.1,0.95,2.05,3.81,24.75,4.86,9.14,0.51,0.0,0.0,0.0,2.19,3.62,0.47,3.1,7.1,0.14,100.0,3,C,6-11,279,"August 10, 1993",us,8,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2021,1.0,9.0,9.0,11.0,10.0,2,3,4,6,5,10,2.58
Andre Drummond,2021-22,BRK,11.95,11.75,1.42,10.29,0.92,0.96,1.5,2.96,22.28,4.96,8.12,0.61,0.0,0.04,0.0,1.83,3.42,0.41,3.88,6.42,2.21,100.0,"0, 4",C,6-11,279,"August 10, 1993",us,9,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2022,1.0,9.0,9.0,10.0,14.0,3,2,5,5,8,7,0.0
Andre Drummond,2021-22,PHI,7.73,6.08,1.98,8.84,1.14,0.92,1.61,2.47,18.41,2.61,4.86,0.54,0.0,0.04,0.0,0.86,1.67,0.3,2.78,6.06,-0.27,24.49,"0, 4",C,6-11,279,"August 10, 1993",us,9,UConn,https://www.basketball-reference.com/players/d/drumman01/gamelog/2022,1.0,9.0,9.0,21.0,28.0,3,2,7,3,8,7,1.56
Andre Miller,2013-14,DEN,5.64,5.87,3.33,2.43,0.5,0.23,1.1,1.07,19.01,2.2,4.8,0.43,0.3,0.6,0.22,1.17,1.57,0.34,0.53,1.9,0.3,6.67,24,SG,6-3,200,"March 19, 1976",us,14,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2014,1.0,8.0,8.0,16.0,14.0,1,4,4,6,9,6,1.98
Andre Miller,2013-14,WAS,4.47,3.82,3.46,2.04,0.68,0.07,1.0,1.54,14.7,1.43,3.11,0.39,0.07,0.11,0.07,0.89,1.07,0.37,0.43,1.61,1.43,0.0,24,SG,6-3,200,"March 19, 1976",us,14,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2014,1.0,8.0,8.0,10.0,18.0,5,0,7,3,10,5,2.19
Andre Miller,2014-15,SAC,5.48,5.73,4.7,2.53,0.6,0.13,1.93,1.57,20.74,2.27,4.93,0.43,0.2,0.87,0.1,1.0,1.27,0.38,0.53,2.0,-0.8,0.0,24,PG,6-3,200,"March 19, 1976",us,15,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2015,1.0,8.0,8.0,19.0,11.0,2,3,3,7,4,11,3.31
Andre Miller,2014-15,WAS,3.7,3.59,2.8,1.51,0.27,0.04,0.9,1.1,12.38,1.51,2.78,0.44,0.02,0.16,0.02,0.55,0.76,0.22,0.41,1.1,-2.04,0.0,24,PG,6-3,200,"March 19, 1976",us,15,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2015,1.0,8.0,8.0,18.0,33.0,4,1,7,3,10,5,1.93
Andre Miller,2015-16,MIN,3.14,3.38,2.23,0.92,0.35,0.0,0.96,1.23,10.79,1.38,2.23,0.44,0.04,0.15,0.04,0.58,0.73,0.27,0.23,0.69,-0.42,0.0,24,PG,6-3,200,"March 19, 1976",us,16,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2016,1.0,8.0,8.0,17.0,9.0,1,4,3,7,5,10,1.38
Andre Miller,2015-16,SAS,3.86,4.31,2.23,2.08,0.54,0.0,0.92,1.08,13.9,1.77,3.69,0.31,0.08,0.31,0.08,0.69,1.0,0.26,0.46,1.62,3.31,30.77,24,PG,6-3,200,"March 19, 1976",us,16,Utah,https://www.basketball-reference.com/players/m/millean02/gamelog/2016,1.0,8.0,8.0,2.0,11.0,5,0,9,1,11,2,1.87
